Addresses,Azuki Count,Punks
0x728f2548559E2AaCAE8B6b01FC39fF72771FF8BE,1,1
0x834bD42D09717b4840C904Ed712A7d57c100F5Bb,1,1
0x16aD4E68C2E1D312C01098d3E1Cfc633B90dFF46,1,1
0xfFa914c83D851b9Fe372e4bA6A6E131373AA16ab,1,5
0x4E79B9E54F84e17d82A81f711dDbbBB906FDD367,1,1
0xD91341F739C2fEAc1e048A995B0d602D92959123,1,1
0x0857060fd3CD69dd317bE663e82f503c31A98966,1,1
0xa5E0Ecb5D075e86C3bf5d1B1042e154FEe9a4798,1,1
0x79dd8Fab0661Da2Cd4131BB454bAb060576ce2ee,1,1
0x30E924cff3C2a73b153D1C935819d752c555eaaf,1,2
0x68eA913A3cAAd9F917Ba458897284364D33456E3,1,2
0xc4CCa7049fba013313F57E0139b954913D541ad2,1,2
Total,613,277
