Addresses,BAYC,Azuki Count
0x52b8D5b0CCf90e8c0a63F0b54f00C87A694B6758,1,2
0x7c901D78bA68B5be8368c2305f3b270Bf93C4CED,1,1
0x5f4934fC98EaE6061a01868A4700c53C1Ffb7d2E,1,3
0x8E0DB33dAf2BD5237Fa3C913518B81c468cb5b1C,1,1
0x5e113F1Ef9f359778015a69AA17469786a9fc615,1,1
0xb8adCC8E382A7C43BdFa2e1C47059a1aFEc10E06,1,23
0xd3194cc261953821F96C273d18229bcc504ff530,1,3
0xCdC116B3749f0E272D337C6213D8EBFFe65D6E1E,1,1
0x88696C4985f64Ea1EBfb9E46c1B47197F7a244AB,1,2
0x10cCD4136471c7c266a9Fc4569622989Fb4caB99,1,1
0x382a27798915d60f76220fDeB276f3731Ba6d104,1,1
0x396664dFc1E515682c2BC6c32b394d5734392FD5,1,6
0x47E3360489407883aC7eF8CaCBA293231F50c891,1,1
0x1850dd8FB9323B01C340d0eb1da1Ec16CC8EE1a2,1,1
0x80aC8B6F4CACEa6129F5cF1365904F056b4E29EA,1,14
0x969fA39f580AA68e72959FA279c8576DA34e56D9,1,2
0x158583fD32B7bFb11a29639533F23F03BEd79978,1,1
0xd34d42D1335AB3cE12C8DC85ebe21CF1FcDEfED8,1,1
0x7Ba6527419152e17d78DACCbb89a51AB71C8D200,1,1
0x4c8ad72f93C7BD2131701F3790e6D06cc56c651F,1,1
0x328A12FF1C3348aC79369b433Eb72Bb5B1Ad3253,1,1
0x4Ce2C4835BDceecEe271BB8839f8871882Ac7570,1,4
0x99e61b1dfE29C9E63Fbe7c65a38ae80a064c166e,1,1
0x7E149Cb3427478c557C0be5aeCc666ceA8c2Ee82,1,1
0xfBC76261FD55cF91b81a97dbcc2B3F6118f2B935,1,2
0x186baD94057591918c3265C4Ddb12874324BE8Ac,1,2
0x205410FA2246BDd108a13d385Fe83f1dC5133279,1,6
0x904ab02baD0e3e3f18aAD752a80A7fA42f223c71,1,2
0x48Fe093848d1a11B236C7d4450E6b6360B6bA7Ad,1,5
0xA895D36aa41583A51d1604143C420759E7920926,1,1
0xc61f14DD2fEdBBa6414Ed0F2e3036d50f7919379,1,2
0x3546BD99767246C358ff1497f1580C8365b25AC8,1,2
0xc5825A27A03fF2FbA429F49d7E337C4D4dd39400,1,1
0x100Bdc7550FAF97E12EA838dC85F5c36C3C30fa3,1,1
0xC55D765bbd35e495eA519F0A170dedd30363e114,1,2
0x77F34B65b2CCA772dec60B10Be9323A2CdBf39f9,1,1
0x7324b1202a7eB60ea969D94690ABB25f8e92c5a8,1,3
0xae39C99270A91Fa2CD76f76Abc176a873706062F,1,1
0xE526B01B0728c617a2664ce4Dd86f289FBbd5cE6,1,1
0x93D849A31aCeA594a116B760Bb6DD71BDE536970,1,1
0xd2498b4Dc8402789736F7C94CAf969eA65BadFa2,1,4
0xF224837e13B1a745574Ef68A73427B0063F266F1,1,4
0x08109a9be5Dd5387E9B3982C73dA41Cb1df1ce4a,1,1
0x01dB485f57Dc000E761b85641F78C9D212A2eEaB,1,16
0xb5ED351A7Cc4D806Bb1a00A7dD82dC3bA926a901,1,1
0x4f94fa697F4eaA8c25A097FA0C9D254CDb114465,1,2
0xd1Afbe4dA2A5aDC6fAf30fCBeA9E4EEa0Ba8C70a,1,1
0xf19B975AB5B1ab459eE989f1875C80FD24359b4E,1,1
0xd9463b55af194D4fa22A532a52F5bDd45b66d290,1,1
0xD63F7Fa6601eeccD0fBD507312Dfa67d0fE370Ba,1,2
0xcdD12a9beBd103D8c85A211F826d2493c0b83F0a,1,1
0x47688f0C7f87413888a94C544F3ed856500229F8,1,1
0xA685291af7B258CE10d7135F6DD3ab44BD94EBFc,1,1
0x1141A2881050320C927aA04D293530CD2dB6870B,1,1
0x53855aC8c42Dd61C6172234d24f88214db33Af96,1,1
0xdb3fF3567157210AD445d7bc50ffa41f63De7F28,1,3
0x1C051112075FeAEe33BCDBe0984C2BB0DB53CF47,1,2
0xb4C1511567b18F8E0C857632301330708939Ce9a,1,1
0xd4f072B18c7A31D50bBf1Df729B68e9AcE7BC0d9,1,38
0xF275290F0cDEf61cAB534F35a2a8Bd52B7e2f3AA,1,1
0x4fb2e1E718EC713aa7346687FCE8e4411b7F423e,1,1
0x99D9cC271Dcdb1Ec44dAD67D91a8FCCea8F58b1A,1,2
0x40E6Bb0dDF95D710F4e32461F136ada7baF73Aa0,1,1
0x50A879029f433E7743eBEA8eCb47a29Ed458E083,1,1
0x2079C29Be9c8095042edB95f293B5b510203d6cE,1,64
0xc4cAE9E74593011f5d5A7b7eAbD2d2a8c7E3d4ea,1,1
0x859256df682A8412A393b07bB7c516222DD0627C,1,1
0x81974C1a09E53c5129c6e4f74E547fDa0Adf4D2D,1,1
0x4C2A6c5D15502c41c4d290f5DDD600878Ff31Da3,1,7
0xb09953Cfe51cd1F7d4d655f5DBE15dD94E90b23B,1,3
0x7cf91c0eF074F4e3fbeEbDa55DDE44ddBd20443E,1,1
0x2b01E4D89051257381B00889b16BEdc8D9813944,1,1
0x2FbB883f571951b718E8F581df5710bBDf345D1E,1,1
0x028b91C2da0EAacc4C6BA656e78D8e051a091540,1,1
0x30E924cff3C2a73b153D1C935819d752c555eaaf,1,1
0xb8BE6f5be927ae33b77cE2048aE155daDb131B13,1,6
0x5723f0c6707a689C6DF16b74c22B23C905AD7B04,1,2
0xaaf3c82bbD30D08D06fC8d16c4186E8692784DA1,1,3
0x5054A3283e57Cc1bd1109F596a0a5a31887D56FB,1,1
0xEBfb4E44a5F12E371aAd48ca0263a1373BAd0361,1,1
0xBba5b5a12375DAe4b6fc293A8203Bfec4Ca6476C,1,1
0x129B043520711c7BC94025b09bed6AF74d35a372,1,6
0x7EFf7eeE42Dc0Bd27081A78fE23CFE2a72697f2B,1,2
0xB97c5725c29f96Daaf8952B051564ACf7F9fB626,1,1
0xBe9998830C38910EF83e85eB33C90DD301D5516e,1,2
0xE6030d4E773888e1DfE4CC31DA6e05bfe53091ac,1,6
0x4Eb5bd1C8cb026bc93d1021AAB493a448fB4D5c2,1,1
0x225558706370bef1760C52e76a07BE9c104c98aa,1,1
0xeA5185Ff5CFA5373bd022B2Cc4495Bb37183C911,1,1
0xA3551E31972557912D69197Cf224fE9b167A4db6,1,1
0xC457749236328D6E27FC7441cC32f273D6AD05aD,1,5
0x28Ef0AB6595f0C38FB476d125ec6175fD3Eeaf6D,1,3
0x9C87118ccB216b4b2e4626c37928224a382ec1eF,1,1
0xdfF5fD6b6FEd83197353Aa8c50748D546C24B4db,1,2
0x675e4accf559807EdE5A1A159A8579C7d5344B5e,1,1
0xea39c551834D07EE2EE87f1cEFF843c308e089AF,1,29
0x60251579f5D1Be1483ecAc3519c9F0515dD9e023,1,20
0x1F69e2A6FB1008E5950d5B28cCeb1779FAb9156d,1,2
0xF380ED92ECA580C4D78B5678348389C82772BD61,1,1
0xc3874A2C59b9779A75874Be6B5f0b578120A8701,1,1
0x27DB134012676a0542c667c610920e269AFE89B9,1,5
0xAffca680e6dcbb1bb336108D5aCcA9c545885260,1,1
0x6491bce963FcAe210b7C843c4829202Dc2479C03,1,3
0x97a4E84a0c1945B0162B2A92f9f566B7Fd815f70,1,1
0x6D6daf1A72D3ca0534929D6Ca7415cDAEd64B39A,1,1
0x0B83d0C0976b71724054E9F74A471F7d1c7AbDc4,1,1
0x5E451B2D167c2A8FAF0A8B23cFf27996a28F28bC,1,1
0x984FCEF7a75F8bbc23e0168B049b19BbcD14f562,1,3
0xfffa6Fc6aCc3DBe04B175862376f1c5FF88Cf9C1,1,1
0xBC4c2Aeb7f520c1A834795d45c60a66e135F4b31,1,1
0xdfbDB9b9174862eCB1010C39ca72409C1D63B18F,1,1
0x57B2036ce31A22De0079f662D24818b043f47469,1,1
0xE5859cbc7a5C954D33480E67266c2bbc919a966e,1,1
0xB8c1fECe2C2928B1e985f59e8546c2F0c13296D4,1,1
0x21d2D0d92660cBA6C4B439B8E159D14dF6637117,1,2
0xbBEE3d18c8Ea290Ff6F7E05fC7ce7BB0f81d34a8,1,5
0xc71974724C4B009c65c722AF061900d7D26F5Fed,1,1
0x80C2C1CEB335E39B7021C646Fd3EC159FaF9109D,1,1
0x05c250120ce07bA6fe361B39ac344148435C25Ca,1,5
0x22811cbb477bd2E18313B7113Fc8b66ABe929861,1,1
0x8F88325F66dB5aCC3FEFfcE9FfE4B96b15F01580,1,1
0x27ed338c1705F22cCD19336CB76Fc97421C1871B,1,5
0xEBFb3B263f11BB1A9D6b14CaDE9A5E6C8EA4e07c,1,1
0xC4B0D0A7717905d342926958453e0654806850bB,1,20
0x79C91f03590fCeBA9b42AcEc18375cB279e0881e,1,1
0x66Af4d4f0a18E95a804CFC3852ff6F54d8BF2867,1,2
0x9C2EcD52e83A5fF9d0c981570A9C6eA044483410,1,1
0x8C913aEc7443FE2018639133398955e0E17FB0C1,1,5
0x4A7e8DCb760C1068BB6a5828C0d0A57a6143DAf0,1,1
0x6CA4e8B3a602F904a66EB0F656b39158F569258B,1,1
0x56D76f5C26175ECC3A88EfA3cfc622C827F8C501,1,1
0x8639EB2F2E9DB036b57fF1eaf4643CedAf2E0F65,1,1
0x5f9D41289AD44D17e6C51f889276999112e4ffFC,1,1
0x67f57E1E8F034aF677a942148C3805E8397140E4,1,1
0xC46D5cBf77e854f8FaE1EF979421060f8BA36988,1,2
0x728f2548559E2AaCAE8B6b01FC39fF72771FF8BE,1,1
0xBa1555ddbC9961AAE5d569C6dCa029D598c51436,1,2
0x5D018611A65C87Ac28f7F20007CBb1A96dc9e591,1,2
0x48D9d0Eabc945Aa513a52d71e0Ea4047B2c33Ce4,1,2
0x3d280fDe2Ddb59323C891CF30995E1862510342f,1,9
0xCd32895ffbC17085Bf27D9d6411d4d8295ff7786,1,1
0x0D76461AA04e1CA42730AaC61dF11E4A47164E48,1,1
0x97b805EBa82A4788DecA24c24f58c2283179Ba29,1,1
0x40F5C302d811f14875d6845DCce4F43e8767a252,1,2
0x49Df36a77f819190A41368bC8Aca8A54FB6d760D,1,1
0x10A7330415017A71Ba28CD22a5EEc748b280D6CA,1,1
0xeB369F468d91E575fD30712a0ABfcF99FdF75e30,1,2
0x881F0EA0049622a240C519062E6ABe75085D68D9,1,2
0x4E7A008C396e01B923AFE3A54A95C7cCC5E37B6a,1,1
0x5835235E0BBc755F6f84dd21aCdEDaEB03b98cd0,1,1
0xfFa914c83D851b9Fe372e4bA6A6E131373AA16ab,1,1
0x19876555C0b25Ae17224fceefc8e8138A3972020,1,1
0x7772881A615cd2d326eBE0475A78f9D2963074b7,1,3
0x0629ec429fcdF345E81451d110936012671A8E45,1,1
0x6F69F79cEA418024b9E0acfD18bD8DE26f9BBE39,1,2
0xA96df9D72Fa43cbC5f9AbaCF40C5B0c0b9fB0684,1,1
0x00493aA44BCfd6F0c2EcC7F8B154e4fB352d1c81,1,1
0x7009685b6C178D199Bd34A0dA02EF8882cde2979,1,1
0x1c2Ca609CB72b05A23d1539acba6C594c87E304e,1,1
0x45C7811C459a43d0C17EF18F33A2C8921aC4ECf8,1,1
0x3e6527De2CFec82CE5240d5559A8b09d256D5D6d,1,1
0xA2d5BC7404bFd6Bf972215f665B8e792abC688b2,1,1
0x9607c7A7fEAAd726EeDaEE4D4E024fB9Ac9b0045,1,1
0x52349a2C4eA4e4B94ada3D75C9d3A318C024706f,1,2
0x12F8dEE62D483B9D641C6a6A77E2DcADc14615e6,1,1
0x9654617220e021f942E844855621ed08Ac9154c1,1,1
0x2155D5C0A63AF068a00443483C4CD572ae73b09b,1,2
0x12d6De38C12D8c1d661238742E918A7c14274136,1,1
0xA4d07c23F28A1eb1ae471e530c3f5e0038d282F2,1,1
0xD23C85224940fb5b5148Ba212277C8516f31947e,1,4
0xB1367Bd5C4D68897cCEdAbB0641c6ae491b8A697,1,1
0x24Dc97621258B50Cd5c6da4ac12E2c4ebfA63B19,1,1
0x4E60C2E7181EDFc5471C0cBC8D485706d1b35686,1,1
0x28b49D24d58E165ac8cFe1e91b2027FCC716aF12,1,2
0x8B9Cc341084337c0A5828BC0D5E20dADB197d991,1,1
0x98eD15C309e734466D0F6EC80fc81a5B8c2a9cAf,1,1
0xA2A13330A450c376f229bc8c96bcC840608761Db,1,2
0xB2FBa7f4384C517E1524846aba89393b3eF42042,1,1
0x994F16B760E5549bDA0e8C9adAB0809552452e76,1,4
0x1C3Df1F4Cb5e551Dc6efF0F61595958907aF326b,1,3
0x95e83145f3faB151b16064F8571E54B3f81bEeB1,1,2
0x272987bb318998e9Fc8893A263329E3065349DF2,1,1
0x57EAdd1811affBD06C03787CAA973E626C090c62,1,6
0xD1E4a2d0824E082c7Eb52d758931246AcD3FCe05,1,1
0xd266c194E126D4FCFC85E8c665ED7f668f6aAe93,1,1
0x8Fe1d101E65066B9D2bEacCfD96f2B6838079904,1,1
0x151C13E6Ca139E2bBf6E95dECbf64c3A7C0151c9,1,1
0xF338C26eF1Aa10C2bd34118c0f2a027bED556d22,1,1
0x1DC277876C70317a394bBc157DC4aEb24440d0Ea,1,1
0xd71D40C047a2F1eA5B523dDeAC03A9024d82f618,1,3
0x27D447C2CAc8050e3716AaE99CE8CA37442B589e,1,2
0xF2A6333EF506DEf8100854BBeE0E7d0D8c25822B,1,12
0x5481f217cE19e22179CCf2Ce919c2d9a648B2dE4,1,2
0x456580b040808A70cc320A477a47e6Bb793fdB5A,1,1
0x09FABf8c79e141FEa3B87629a19C1deFef0B9291,1,1
0x0C2DE53b7f4520AFD3F92ac793943CF90fbCFe13,1,10
0xd96a36cBf430C3f2aabFeF5B0D3778f36D0b1A62,1,6
0xC84F8d68D5822acE53D817D6FBF7191B37729698,1,1
0x5C7c6d069ba232718f37C27A9549b547C359E31C,1,6
0xDdf767f258adf0af89896621349cAdcf8722f771,1,6
0x7E88854a5f2A5e6647FBe67F08A184dC0867a822,1,1
0xc602bbe267bb6D68EFBC394E54D7B6Faf0355695,1,6
0xc70084445C4d24809C72b91e62B1168c727508CA,1,1
0x2944322EbF133765d420F55cE0c95a7DCbd860cC,1,1
0x4B46F1e241838a910945a3FAC242DDf6f5d7c041,1,1
0x9bE313209Be2Bf005942D4DDBaFecECDe5F18b30,1,1
0x0E40F328d101147b28719b2cB2A56Fcbf7d05667,1,1
0x8Bc47bE1e3ABBaBa182069C89d08a61FA6C2B292,1,1
0x2c9aEee0D862232371FB74a817eb3D275C21d358,1,1
0x5ED2516e649926fEF80b3Fc8D6C58CaF981f2932,1,1
0x8675D32e2Cb8b2AB84C9e968F3140213303b1318,1,2
0x41f0c2E1C071DCC834b80aa1A29b81E5A31C4BCb,1,2
0x3c38DC2094dA7BDa733eaE62b96007C1323e2d8F,1,1
0x7aEAFe680Edd6A555C9F021abD881363BAEC8E91,1,2
0xaEc061Ad03Efa0e55E3F423Ec3491eD7501511f1,1,8
0xD3E401814d1FaA8ca0419EccCBFeE93aC7B15B31,1,4
0x421a5B097b71060113C435E3FEee236efBa510Dc,1,1
0x794098DfA22022A99eD7fC4cD643B6B8CAde1317,1,1
0xc73379683e7Aa11868564a2aD6acb5e955597994,1,1
0x679d5162BaD71990ABCA0f18095948c12a2756B0,1,1
0xDada9e84C051e58F60E92b796620cCf3E4Ba9119,1,2
0xDBf66A7Ae4C2006ab2c548Bea03379d4E5C5c872,1,2
0x7D8f76231883c9dee51c2EB6C53acc58b042497d,1,2
0x400AaBCBBe8348B463a5ed2C0eba227a60c731BE,1,1
0x84a0e7bC25D7df82A0BbD6ed5795A47f26037A9A,1,2
0xCDFc03c9EF93055Ef29e721DcFB8a7c27aF03f80,1,1
0x2f37bc8f62D1E43e2d30a6EA6BDD73102dDFB613,1,2
0x8d80DAC6F8ce44D390A2BD5205c2F39707622089,1,2
0x5b2d08539b3317fae2DB93706D709d859c6103D5,1,1
0xA045dfB9b742b06160fac011A27F06d854e80f64,1,2
0x3753FA57980fd180655c281158E428Ca994d6dfA,1,2
0xC7A3FC4E2618CCcAB5e01963d7E2A8A208812F59,1,1
0xECa9C66692bB06d64E0289042409c69289c67C23,1,4
0xdF248AA0AFDb8D9371f511680322049f89B46381,1,2
0xE3f279F20c51173F68646d8c371E99054994c5FD,1,1
0x3fE87F5D1490273d7A6B6975ac023220105683B4,1,2
0x9F4C5733784dBF867Eba62068E5aB06c7D3A7843,1,4
0xD3052018b7513eEE17EC7bEB782141b8206Bb3F5,1,1
0x7F3A70C0a77615Ce1aCC8eD71D40e03ef2bAfE98,1,1
0x10CC22FB156CC385946C83176885724b820E684C,1,7
0x54585647EdAeA3066D191024e4599B098f8f19E0,1,1
0xD4C5211966074126b8F932596A26a34e5AE31d45,1,2
0xd1c053cEd027Ef33b8ACBb10AeB7711987B29554,1,2
0xC27091475944FB7BF417aAaEb2D3Ec59443EA013,1,2
0xDecFD713Aa4FC16E974D57C9c58c295Ca2244d04,1,1
0x010D1aE300eBbfe8E31E53ef8BebD59a8169a3f5,1,1
0x5d23B4ea39E274b23fdEa9bFDb57b032AcEd47d4,1,1
0x734C0Fa5D8648046eBAF8f95CD64f58e65851862,1,3
0x339Ea14d82373cDBd329Ad32a1f192D3c5c1Efc4,1,1
0xF117AeB3a34BA3af790b274979a68e6Ffc394a30,1,1
0xF4CdfeA7fdF85872141e4f8EB0E953427De7626f,1,1
0x3fA930A14c9a35B6D4b3BabaAe395384Eadd0d1F,1,5
0x0b67A3d8708e3375a5226208eb3764e345B9aDa2,1,2
0x35dF9413f56332E389b41Be14c98E63500bE0Bc6,1,2
0x16205a6048B6AF17f1aC1A009bBf2ED9289E6921,1,2
0x321e64d977A8653a6a406fbCFd70a7E2d6Db6925,1,1
0xd83e662B83880081741D0E810c3Fe8630fa6Cb4d,1,1
0xaF8B25EFad6e955913F70B15814Ce402e2AE3fea,1,1
0xF4ef6066466E2778b20f2D03561284aa05691EA7,1,2
0xd2FC0D9F79ef243956c10e0C6e76E588D70ae8Bc,1,1
0xD91341F739C2fEAc1e048A995B0d602D92959123,1,1
0x7D5efD8678CcE08983F2D1d4291D857Fa56195b7,1,3
0x9f4838f18104f4973Aa0972A73A3F50bDeBf86Ba,1,18
0x9b1020ee4bfBF31706979A45e931Eb7e6047303D,1,3
0x98BB4Ac8AE0eD9EEF95a7681BdA3161b928d34EC,1,5
0x93107B8D1E61d0be1555e0a095de1647ae5f54b2,1,2
0x1C01AD7A3F0b6ABF864012420883C0057a53Ac49,1,1
0x00df0a54Fb57BB4A999B0e3E3746EdF52aB44c7b,1,1
0x8Fe191237f3f77d5D811deD42c8641bfe17AbD37,1,1
0x035Bc300aC541e1FEa76c14e747CB1ace904563e,1,1
0x6263b9Edc7a9eE22789ec45995D17d9D21B8A609,1,1
0xa1678cE295f62DC29136eebB4c4c4226Cc4bB80c,1,1
0x616413c4A4Fee2D64D9f58A56b97684c0E380b37,1,1
0xc75b143301cF47A3Ad096ED904f5E3f0831a57Fb,1,8
0x4A174d08E2C0502fc960399Be3f9F9E9321a239B,1,1
0x81B55FBe66C5FFbb8468328E924AF96a84438F14,1,1
0x304aA04D546750b0AF651EcDbaf1Aa1cA57E0b58,1,1
Total,832,1169
