Addresses,Doodles,Azuki
0xaE5a8e190CE39d9304580d8eCcb9d597df6d9915,2,5
0x80aC8B6F4CACEa6129F5cF1365904F056b4E29EA,2,14
0xaCc1ef0a90A8D2000Ef01b0A116b41F2f3cec4B2,1,1
0xbe85E14B11Cc56e345B14fFE064958D30564A018,1,1
0xB578A715DB500925Ff6f1f62Cbd0df6573fcc2c6,1,1
0xA96df9D72Fa43cbC5f9AbaCF40C5B0c0b9fB0684,1,1
0xBcf03Eb586e7ce838Bb73c41BFe1070D0eA1cD09,1,3
0x779a7EE0d32122E82E46ebdd4B993e2192D66369,1,1
0xC01c78fd32403b22c89DC1eEca293D6A500403Bc,1,3
0x6dD77AF245F32D70bF529a22Fe34bc62c4615944,1,1
0x6073Ae7059582fb08AE030663c33d026B3aD0766,1,4
0x4De897414481622417Bd25d65c01B10F3c9a629E,1,1
0xd57c1a5812f1d2D7FF491C362566115f4A54643a,1,4
0xD3E401814d1FaA8ca0419EccCBFeE93aC7B15B31,1,4
0xb99eae4B1FB07880896Ab975534869bcdDeA35e0,1,1
0x6a8b990801daDe9077acB0eA8948D023C72D7060,1,2
0x2D89Cc4E013db2908b877c51D39Ff63982761c96,1,1
0x4dd1AF0Bdc8c8b49cA133392AED73f7250Ca4030,1,1
0x6527045A43D0B8c0cD0E0a42a7c491aA715074C7,1,1
0x78CEa29aCA1d3de197Ef761fF0169Beac6877124,1,1
0xDEF3d987131791b2712297F17654dA42FD63f6B0,1,1
0x1aD378eBCF646A64f9A828E6BC300d8261C00d7A,1,1
0x508ed8545360A1FEDf2AC62ACEd0eEeFe4707C3c,1,1
0xaF34964b228d7C671fDaC25A277F9d9A33Fa9730,1,1
0x9D9Fa64Bd35F06c9F0e9598a7dF93c31d72D14Ce,1,1
0x127EBfe7be8337b48B49cFE8D557be5677E7aFe2,1,1
0xd4C4A6D907cd164e20fBC5C651e13F9723305E5b,1,1
0x30E924cff3C2a73b153D1C935819d752c555eaaf,1,1
0x3303b6AED6F306A6d7cf5e8C8956bEFd8F1Bd2e2,1,1
0x63DEf8B513eD55dD9F5354EF5Af65590A423A006,1,1
0x5fA40124ee90742b615eB3Ac2a89a79863ab8117,1,1
0x53102d489D17b09F9e758742d5D1f67E120f10C2,1,1
0x41f0c2E1C071DCC834b80aa1A29b81E5A31C4BCb,1,2
0xaF97a78A41D1d030C89bb5e29e14adA03Dc802Ce,1,3
0xB1367Bd5C4D68897cCEdAbB0641c6ae491b8A697,1,1
0x024878EAff0e05E559CC4fE553f64c18C0469182,1,1
0x259b9c4CFEaDaeF8A5b842710a777364988415B3,1,1
0x93D849A31aCeA594a116B760Bb6DD71BDE536970,1,1
0xe47E1ac440A31A8C77C825cF30D9a91f6352Bc84,1,1
0xECa588e75c8Eb0D2322f52c2c90Bd525C5a5d93D,1,3
0xC7D97B8F43823da80b5666F3016D525d696bE3Bd,1,1
0x18DaC16fBB30529eF05828CC1409ffF2cB7A4dDc,1,3
0x54962F5882936E71964F938F5C5451D6162d21E4,1,3
0xB23f22BC0978bD90a58a2501f74ca50e90D1CAf5,1,2
0x4E99470b4102e5300af1854c7A00b597BCAe656d,1,1
0xa20ab40E67D7fA2a34ea1Ee27949427ED60AAfe9,1,1
0x496871Db169E3B3af78aADF0e8364bAD77018337,1,1
0x3fC3E56D256a4ACe92a93E4e6E70A719CAa0D080,1,3
0x2924196a2Ec71ea4AE1B1357381EcCdCEe6C18f2,1,1
0xbE659a818Eb788490be750d799682CfFD66be518,1,2
0xAFa08BA8B25460Bca971730B51058aa1C257893E,1,1
0xAc3aaD9A7fdfC1A4C548057a5dd1408D9E26Ca00,1,2
0xeA2a3f3DC3e40Ca326C1047B0cB567e91465C512,1,2
0xe684AEDcb17D70923dD50aC757ECeDc43d86cc49,1,1
0xa53cf9e377334e7dA7550e644B815Cc5Cb74Af23,1,1
0x57EAdd1811affBD06C03787CAA973E626C090c62,1,6
0xBc9b094e0f4B7e575CE2Ee66BBf4479196E84032,1,1
0x6d85Cb39201B6ADF262528A38cD4c173Cdb1a800,1,1
0x42B7677fbE40A6aEF2646971E82f782F6e8bf5c1,1,1
0x5aaD302341638541C9A39a1810D466Ff5fB2EECf,1,1
0xa2C4d0C1dDF2734D36B174992eF3CeBBaE5DB841,1,1
0x510D415a99596cCc0adC96F23BDCAEa810335451,1,1
0x226b7Ed8e2DaC7f7C529147833A8EfF769FdF232,1,1
0x18EB2e1f8eFcFcb092B700aeA3324f00FdBa08Ee,1,2
0x8b3477Ca7445ec524dd534fA4A596C993E93675a,1,1
0xbbc5E17749a63E5B799469A225cEb1683257c8A8,1,1
0xA0bB99250bf827D93B244ec495571A04ac0Cf1f3,1,2
